wall_time,meas_x,meas_y,meas_z
2026-06-16 18:24:30.015206,0.177658,-0.036,0.001857
2026-06-16 18:24:30.048398,0.177658,-0.036,0.001857
2026-06-16 18:24:30.081671,0.177186,-0.027,0.002349
2026-06-16 18:24:30.115649,0.177658,-0.036,0.005742
2026-06-16 18:24:30.149762,0.177186,-0.027,0.00622
2026-06-16 18:24:30.182480,0.17813,-0.045,0.005265
2026-06-16 18:24:30.211723,0.182565,-0.055,0.008651
2026-06-16 18:24:30.240333,0.175771,-0.0,0.011479
2026-06-16 18:24:30.268663,0.180079,-0.009,0.014858
2026-06-16 18:24:30.295977,0.181052,-0.027,0.013961
2026-06-16 18:24:30.323717,0.178187,0.026,0.0166
2026-06-16 18:24:30.358732,0.181052,-0.027,0.013961
2026-06-16 18:24:30.393665,0.17916,0.008,0.023331
2026-06-16 18:24:30.426885,0.178187,0.026,0.027951
2026-06-16 18:24:30.459293,0.17916,0.008,0.030957
2026-06-16 18:24:30.488426,0.178674,0.017,0.031346
2026-06-16 18:24:30.527281,0.180079,-0.009,0.037905
2026-06-16 18:24:30.559715,0.179592,-0.0,0.038264
2026-06-16 18:24:30.593292,0.177755,0.034,0.039622
2026-06-16 18:24:30.626629,0.17488,0.017,0.038943
2026-06-16 18:24:30.662105,0.174409,0.026,0.043086
2026-06-16 18:24:30.691827,0.176243,-0.009,0.041746
2026-06-16 18:24:30.721106,0.173098,0.051,0.044043
2026-06-16 18:24:30.753417,0.172627,0.06,0.044388
2026-06-16 18:24:30.787877,0.172627,0.06,0.044388
2026-06-16 18:24:30.826524,0.172207,0.068,0.044694
2026-06-16 18:24:30.853242,0.168091,0.076,0.045001
2026-06-16 18:24:30.887912,0.167228,0.093,0.049325
2026-06-16 18:24:30.920930,0.164788,0.068,0.048409
2026-06-16 18:24:30.953950,0.164788,0.068,0.052124
2026-06-16 18:24:30.987947,0.165181,0.06,0.051844
2026-06-16 18:24:31.023056,0.162693,0.034,0.050934
2026-06-16 18:24:31.058418,0.161079,0.068,0.052124
2026-06-16 18:24:31.100412,0.160271,0.085,0.052719
2026-06-16 18:24:31.134404,0.155856,0.101,0.053279
2026-06-16 18:24:31.167586,0.157736,0.06,0.051844
2026-06-16 18:24:31.202122,0.152554,0.093,0.052999
2026-06-16 18:24:31.234389,0.148205,0.109,0.053559
2026-06-16 18:24:31.269187,0.148886,0.093,0.052999
2026-06-16 18:24:31.304253,0.152908,0.085,0.056405
2026-06-16 18:24:31.347914,0.152554,0.093,0.056672
2026-06-16 18:24:31.384237,0.151847,0.109,0.057206
2026-06-16 18:24:31.415869,0.15114,0.125,0.05774
2026-06-16 18:24:31.451767,0.150786,0.133,0.058007
2026-06-16 18:24:31.485384,0.152554,0.093,0.060346
2026-06-16 18:24:31.517973,0.152201,0.101,0.0606
2026-06-16 18:24:31.550191,0.151493,0.117,0.064741
2026-06-16 18:24:31.585633,0.15114,0.125,0.064982
2026-06-16 18:24:31.619632,0.150123,0.148,0.069257
2026-06-16 18:24:31.658420,0.150476,0.14,0.069029
2026-06-16 18:24:31.707405,0.15114,0.125,0.072224
2026-06-16 18:24:31.743389,0.149415,0.164,0.076826
2026-06-16 18:24:31.778472,0.149769,0.156,0.080195
2026-06-16 18:24:31.816129,0.149769,0.156,0.083765
2026-06-16 18:24:31.848046,0.149415,0.164,0.094611
2026-06-16 18:24:31.877830,0.149415,0.164,0.094611
2026-06-16 18:24:31.915415,0.149415,0.164,0.101725
2026-06-16 18:24:31.951455,0.149415,0.164,0.108839
2026-06-16 18:24:31.984750,0.148752,0.179,0.116059
2026-06-16 18:24:32.019409,0.150786,0.133,0.119341
2026-06-16 18:24:32.058909,0.154013,0.06,0.126401
2026-06-16 18:24:32.093903,0.149769,0.156,0.130176
2026-06-16 18:24:32.124443,0.153334,0.156,0.133747
2026-06-16 18:24:32.161362,0.153306,0.076,0.13754
2026-06-16 18:24:32.191152,0.153659,0.068,0.141277
2026-06-16 18:24:32.220866,0.15114,0.125,0.144645
2026-06-16 18:24:32.252796,0.150786,0.133,0.144597
2026-06-16 18:24:32.279751,0.147183,0.133,0.148205
2026-06-16 18:24:32.308285,0.144562,0.109,0.152037
2026-06-16 18:24:32.336768,0.142966,0.148,0.151672
2026-06-16 18:24:32.371359,0.140291,0.125,0.155508
2026-06-16 18:24:32.397568,0.138759,0.164,0.158636
2026-06-16 18:24:32.425761,0.134078,0.194,0.161765
2026-06-16 18:24:32.470823,0.134078,0.194,0.161765
2026-06-16 18:24:32.497366,0.131115,0.179,0.165511
2026-06-16 18:24:32.528244,0.129531,0.223,0.16827
2026-06-16 18:24:32.555323,0.129783,0.216,0.171865
2026-06-16 18:24:32.595482,0.130071,0.208,0.175503
2026-06-16 18:24:32.625654,0.129279,0.23,0.175045
2026-06-16 18:24:32.656069,0.128523,0.251,0.178021
2026-06-16 18:24:32.688263,0.12827,0.258,0.181266
2026-06-16 18:24:32.723984,0.128775,0.244,0.181604
2026-06-16 18:24:32.755892,0.129027,0.237,0.188647
2026-06-16 18:24:32.789231,0.129027,0.237,0.192084
2026-06-16 18:24:32.823724,0.131932,0.251,0.191677
2026-06-16 18:24:32.856078,0.130614,0.286,0.197372
2026-06-16 18:24:32.890528,0.130351,0.293,0.200491
2026-06-16 18:24:32.924037,0.130614,0.286,0.204085
2026-06-16 18:24:32.956123,0.130878,0.279,0.207703
2026-06-16 18:24:32.993494,0.130351,0.293,0.210526
2026-06-16 18:24:33.030659,0.129861,0.306,0.213343
2026-06-16 18:24:33.063077,0.13318,0.306,0.216667
2026-06-16 18:24:33.096630,0.130351,0.293,0.220561
2026-06-16 18:24:33.134632,0.13318,0.306,0.223315
2026-06-16 18:24:33.169303,0.133455,0.299,0.223633
2026-06-16 18:24:33.201136,0.132905,0.313,0.226308
