wall_time,meas_x,meas_y,meas_z
2026-06-16 16:05:44.661035,0.149807,0.009,-0.034079
2026-06-16 16:05:44.692846,0.154409,-0.009,-0.03533
2026-06-16 16:05:44.723141,0.153643,0.009,-0.034079
2026-06-16 16:05:44.757187,0.15326,0.018,-0.033453
2026-06-16 16:05:44.787464,0.149807,0.009,-0.034079
2026-06-16 16:05:44.817132,0.150175,-0.0,-0.034704
2026-06-16 16:05:44.850380,0.154409,-0.009,-0.03533
2026-06-16 16:05:44.885189,0.154409,-0.009,-0.03533
2026-06-16 16:05:44.924336,0.154026,-0.0,-0.034704
2026-06-16 16:05:44.952358,0.15326,0.018,-0.033453
2026-06-16 16:05:44.980563,0.157877,-0.0,-0.034704
2026-06-16 16:05:45.015499,0.157877,-0.0,-0.034704
2026-06-16 16:05:45.048205,0.153643,0.009,-0.034079
2026-06-16 16:05:45.080925,0.154026,-0.0,-0.034704
2026-06-16 16:05:45.116388,0.154409,-0.009,-0.03533
2026-06-16 16:05:45.155840,0.153643,0.009,-0.034079
2026-06-16 16:05:45.182203,0.154409,-0.009,-0.03533
2026-06-16 16:05:45.213007,0.154026,-0.0,-0.030848
2026-06-16 16:05:45.246569,0.149807,0.009,-0.030237
2026-06-16 16:05:45.281678,0.149439,0.018,-0.029627
2026-06-16 16:05:45.312523,0.150175,-0.0,-0.030848
2026-06-16 16:05:45.345233,0.149439,0.018,-0.0258
2026-06-16 16:05:45.378333,0.149807,0.009,-0.026396
2026-06-16 16:05:45.411643,0.145617,0.018,-0.0258
2026-06-16 16:05:45.446156,0.145617,0.018,-0.021974
2026-06-16 16:05:45.479830,0.145617,0.018,-0.018147
2026-06-16 16:05:45.514166,0.14495,0.035,-0.00948
2026-06-16 16:05:45.544383,0.140817,0.044,-0.008944
2026-06-16 16:05:45.586039,0.140817,0.044,-0.00516
2026-06-16 16:05:45.612306,0.141796,0.018,-0.002842
2026-06-16 16:05:45.645365,0.141156,0.035,0.005714
2026-06-16 16:05:45.687271,0.140516,0.052,0.010386
2026-06-16 16:05:45.720657,0.140177,0.061,0.010849
2026-06-16 16:05:45.755712,0.139876,0.069,0.015003
2026-06-16 16:05:45.784815,0.140177,0.061,0.018361
2026-06-16 16:05:45.816252,0.137039,0.044,0.021326
2026-06-16 16:05:45.848435,0.136751,0.052,0.021698
2026-06-16 16:05:45.881699,0.131817,0.086,0.026994
2026-06-16 16:05:45.914301,0.124149,0.094,0.027353
2026-06-16 16:05:45.950673,0.124927,0.069,0.029974
2026-06-16 16:05:45.980259,0.124149,0.094,0.034756
2026-06-16 16:05:46.015818,0.124647,0.078,0.034091
2026-06-16 16:05:46.051896,0.120924,0.078,0.037819
2026-06-16 16:05:46.083243,0.120924,0.078,0.037819
2026-06-16 16:05:46.122644,0.116757,0.094,0.038457
2026-06-16 16:05:46.151972,0.116506,0.103,0.042504
2026-06-16 16:05:46.183036,0.116506,0.103,0.042504
2026-06-16 16:05:46.218284,0.112825,0.103,0.042504
2026-06-16 16:05:46.250110,0.112615,0.111,0.046483
2026-06-16 16:05:46.283408,0.113269,0.086,0.045567
2026-06-16 16:05:46.317251,0.11306,0.094,0.045861
2026-06-16 16:05:46.350299,0.105278,0.111,0.046483
2026-06-16 16:05:46.391914,0.105461,0.103,0.04619
2026-06-16 16:05:46.428718,0.105278,0.111,0.046483
2026-06-16 16:05:46.462650,0.105095,0.119,0.046777
2026-06-16 16:05:46.496234,0.10144,0.119,0.046777
2026-06-16 16:05:46.525854,0.10144,0.119,0.046777
2026-06-16 16:05:46.578956,0.10161,0.111,0.050157
2026-06-16 16:05:46.609602,0.10127,0.127,0.050717
2026-06-16 16:05:46.640486,0.098098,0.103,0.049877
2026-06-16 16:05:46.669213,0.10144,0.119,0.050437
2026-06-16 16:05:46.699423,0.10144,0.119,0.054098
2026-06-16 16:05:46.737072,0.1011,0.135,0.054631
2026-06-16 16:05:46.780020,0.097471,0.135,0.058266
2026-06-16 16:05:46.811460,0.093842,0.135,0.058266
2026-06-16 16:05:46.840470,0.093842,0.135,0.058266
2026-06-16 16:05:46.869863,0.090082,0.143,0.058519
2026-06-16 16:05:46.897640,0.090082,0.143,0.06214
2026-06-16 16:05:46.925875,0.089951,0.151,0.062381
2026-06-16 16:05:46.956552,0.086349,0.151,0.065989
2026-06-16 16:05:46.988714,0.086246,0.158,0.069784
2026-06-16 16:05:47.021823,0.08255,0.166,0.069999
2026-06-16 16:05:47.057301,0.082654,0.158,0.073381
2026-06-16 16:05:47.089521,0.078881,0.174,0.077353
2026-06-16 16:05:47.121424,0.078789,0.182,0.081098
2026-06-16 16:05:47.159384,0.078881,0.174,0.084493
2026-06-16 16:05:47.193235,0.078789,0.182,0.084655
2026-06-16 16:05:47.222002,0.07871,0.189,0.088342
2026-06-16 16:05:47.249037,0.075091,0.197,0.088491
2026-06-16 16:05:47.280659,0.075023,0.204,0.088621
2026-06-16 16:05:47.315332,0.071507,0.204,0.092141
2026-06-16 16:05:47.350386,0.071564,0.197,0.092023
2026-06-16 16:05:47.383655,0.067848,0.226,0.095999
2026-06-16 16:05:47.415982,0.064369,0.226,0.095999
2026-06-16 16:05:47.447049,0.064369,0.226,0.099483
2026-06-16 16:05:47.482609,0.064402,0.219,0.102884
2026-06-16 16:05:47.514859,0.057396,0.234,0.103064
2026-06-16 16:05:47.551652,0.057386,0.241,0.106608
