wall_time,meas_x,meas_y,meas_z
2026-06-16 17:55:43.779018,0.128366,-0.073,-0.0199
2026-06-16 17:55:43.816792,0.127806,-0.055,-0.018767
2026-06-16 17:55:43.868794,0.128086,-0.064,-0.019333
2026-06-16 17:55:43.915028,0.127806,-0.055,-0.018767
2026-06-16 17:55:43.946531,0.127496,-0.045,-0.014237
2026-06-16 17:55:43.982769,0.127216,-0.036,-0.0098
2026-06-16 17:55:44.018882,0.126936,-0.027,-0.009263
2026-06-16 17:55:44.050122,0.126656,-0.018,-0.008726
2026-06-16 17:55:44.080487,0.126656,-0.018,-0.00487
2026-06-16 17:55:44.109893,0.126656,-0.018,-0.001014
2026-06-16 17:55:44.149381,0.126377,-0.009,0.003334
2026-06-16 17:55:44.178324,0.126097,-0.0,0.003826
2026-06-16 17:55:44.211641,0.126377,-0.009,0.007175
2026-06-16 17:55:44.243385,0.126097,-0.0,0.007653
2026-06-16 17:55:44.278564,0.126097,-0.0,0.011479
2026-06-16 17:55:44.312306,0.125848,0.008,0.011891
2026-06-16 17:55:44.341812,0.12151,0.026,0.012816
2026-06-16 17:55:44.378709,0.12151,0.026,0.012816
2026-06-16 17:55:44.413902,0.121275,0.034,0.013228
2026-06-16 17:55:44.446873,0.121775,0.017,0.012354
2026-06-16 17:55:44.477822,0.117732,0.026,0.012816
2026-06-16 17:55:44.507436,0.117982,0.017,0.012354
2026-06-16 17:55:44.545103,0.113508,0.043,0.017447
2026-06-16 17:55:44.580927,0.113508,0.043,0.017447
2026-06-16 17:55:44.608305,0.109758,0.043,0.017447
2026-06-16 17:55:44.643804,0.106213,0.034,0.016998
2026-06-16 17:55:44.676058,0.106213,0.034,0.016998
2026-06-16 17:55:44.707944,0.105824,0.051,0.017845
2026-06-16 17:55:44.743878,0.105252,0.076,0.01909
2026-06-16 17:55:44.775472,0.105435,0.068,0.018691
2026-06-16 17:55:44.813524,0.105618,0.06,0.018293
2026-06-16 17:55:44.845375,0.105252,0.076,0.01909
2026-06-16 17:55:44.874290,0.101365,0.085,0.019538
2026-06-16 17:55:44.907051,0.101195,0.093,0.02361
2026-06-16 17:55:44.940970,0.097683,0.085,0.023224
2026-06-16 17:55:44.973761,0.098016,0.068,0.026121
2026-06-16 17:55:45.006898,0.094612,0.051,0.02533
2026-06-16 17:55:45.039971,0.094163,0.076,0.026493
2026-06-16 17:55:45.074384,0.094307,0.068,0.026121
2026-06-16 17:55:45.108390,0.093714,0.101,0.027655
2026-06-16 17:55:45.142329,0.089928,0.109,0.028027
