ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff
1.78161E+18,2026-06-16T18:13:47.086273,ground_truth,0.159295,0.026,0.020384,TRUE,,,,,,,,,-0.161991,0.280054,0.378521,0,0,0,0,0,0,-0.00392,-0.15778,0.044405,-0.021376,0.010912,-0.014976
1.78161E+18,2026-06-16T18:13:47.134180,ground_truth,0.159707,0.017,0.019951,TRUE,,,,,,,,,-0.161991,0.280054,0.378521,0,0,0,0,0,0.002609,-0.00392,-0.15806,0.043409,-0.021504,0.010912,-0.015104
1.78161E+18,2026-06-16T18:13:47.193453,ground_truth,0.1609,-0.009,0.02254,TRUE,,,,,,,,,-0.161645,0.285029,0.378885,0,0,0,0,0,0.002609,-0.00266,-0.15624,0.043575,-0.021504,0.010688,-0.014976
1.78161E+18,2026-06-16T18:13:47.225787,ground_truth,0.159707,0.017,0.023749,TRUE,,,,,,,,,-0.161433,0.290561,0.379447,0,0,0,0,0,0.002609,-0.00266,-0.15624,0.043575,-0.021504,0.010688,-0.014976
1.78161E+18,2026-06-16T18:13:47.257788,ground_truth,0.163928,0.008,0.027144,TRUE,,,,,,,,,-0.161433,0.290561,0.379447,0,0,0,0,0,0.002609,-0.00266,-0.15624,0.043575,-0.021504,0.010688,-0.014976
1.78161E+18,2026-06-16T18:13:47.289137,ground_truth,0.162266,0.043,0.03247,TRUE,,,,,,,,,-0.161988,0.283034,0.378524,0,0,0,0,0,0.002609,-0.00266,-0.15624,0.043575,-0.021504,0.010688,-0.014976
1.78161E+18,2026-06-16T18:13:47.327987,ground_truth,0.163073,0.026,0.031735,TRUE,,,,,,,,,-0.161988,0.283034,0.378524,0,0,0,0,0.002609,0.002609,-0.00434,-0.15778,0.043575,-0.021824,0.00976,-0.014816
1.78161E+18,2026-06-16T18:13:47.364436,ground_truth,0.163073,0.026,0.035519,TRUE,,,,,,,,,-0.161988,0.280808,0.378524,0,0,0,0,0.002609,0.002609,-0.00308,-0.15526,0.042994,-0.021504,0.00976,-0.014816
1.78161E+18,2026-06-16T18:13:47.400301,ground_truth,0.162693,0.034,0.035851,TRUE,,,,,,,,,-0.161988,0.280808,0.378524,0,0,0,0,0.002609,0.002609,-0.00238,-0.15526,0.043326,-0.021504,0.00976,-0.014528
1.78161E+18,2026-06-16T18:13:47.434029,ground_truth,0.16012,0.008,0.038584,TRUE,,,,,,,,,-0.161988,0.278979,0.378524,0,0,0,0,0.002609,0.002609,-0.00238,-0.15526,0.043326,-0.021504,0.00976,-0.014528
1.78161E+18,2026-06-16T18:13:47.470564,ground_truth,0.16012,0.008,0.038584,TRUE,,,,,,,,,-0.161988,0.278979,0.378524,0,0,0,0,0.002609,0.002609,-0.00238,-0.15526,0.043326,-0.021504,0.00976,-0.014528
1.78161E+18,2026-06-16T18:13:47.503657,ground_truth,0.160487,0,0.038264,TRUE,,,,,,,,,-0.161913,0.278968,0.379809,0,0,0,0,0.002609,0.002609,-0.00238,-0.15526,0.043326,-0.021504,0.00976,-0.014528
1.78161E+18,2026-06-16T18:13:47.536765,ground_truth,0.163501,0.017,0.042742,TRUE,,,,,,,,,-0.161913,0.278968,0.379809,0,0.001744,0.005666,0,0.002609,0,-0.07616,0.0189,0.262778,-0.023264,0.027232,-0.005632
1.78161E+18,2026-06-16T18:13:47.569514,ground_truth,0.166852,0.026,0.04687,TRUE,,,,,,,,,-0.161797,0.281069,0.381644,0.001307,0.011342,0.022246,0,0.002609,0,-0.09786,-0.00392,0.207251,-0.023264,0.04736,0.008352
